id,Family,Clade_name,Status,Missing_species,Branching_times,Min_age,Max_age,name,Ecosystem,Family,Genetic data
75,Thraupidae,Thraupis episcopus,Non_endemic_MaxAge_MinAge,0,"0.29, 0.05",0.05,0.29,Thraupis_episcopus,rainforest,Non-Tyrannidae,TRUE
122,Virionidae,Vireo pallens,Non_endemic_MaxAge_MinAge,0,"2.6,0.13",0.13,2.6,Vireo_pallens,seco,Non-Tyrannidae,TRUE
101,Tyrannidae,Tyrannidae_sp,Endemic,0,1.86,0.09,NA,Myiarchus_yucatanensis_JQ004391_ENDEMIC_Mexico,seco,Tyrannidae,TRUE
90,Tyrannidae,Tyrannidae_sp,Non_endemic,0,0.1,NA,NA,Attila_spadiceus,seco,Tyrannidae,TRUE
91,Tyrannidae,Tyrannidae_sp,Non_endemic,0,0.2,0.13,NA,Attila_spadiceus_KM079722_Campeche_Mexico,seco,Tyrannidae,TRUE
97,Tyrannidae,Tyrannidae_sp,Non_endemic,0,0.04,NA,NA,Megarynchus_pitangua_FJ175974_Bel,seco,Tyrannidae,TRUE
98,Tyrannidae,Tyrannidae_sp,Non_endemic,0,0.07,0.03,NA,Mionectes_oleagineus,seco,Tyrannidae,TRUE
99,Tyrannidae,Tyrannidae_sp,Non_endemic,0,0.24,0.12,NA,Myiarchus_tuberculifer,seco,Tyrannidae,TRUE
100,Tyrannidae,Tyrannidae_sp,Non_endemic,0,0.68,NA,NA,Myiarchus_tyrannulus,seco,Tyrannidae,TRUE
102,Tyrannidae,Tyrannidae_sp,Non_endemic,0,0.74,0.14,NA,Myiobius_sulphureipygius,rainforest,Tyrannidae,TRUE
104,Tyrannidae,Tyrannidae_sp,Non_endemic,0,0.07,0.03,NA,Myiopagis_viridicata,seco,Tyrannidae,TRUE
105,Tyrannidae,Tyrannidae_sp,Non_endemic,0,1.74,0.09,NA,Myiozetetes_similis,seco,Tyrannidae,TRUE
110,Tyrannidae,Tyrannidae_sp,Non_endemic,0,0.4,0.11,NA,Poecilotriccus_sylvia,rainforest,Tyrannidae,TRUE
115,Tyrannidae,Tyrannidae_sp,Non_endemic,0,0.17,NA,,Tyrannus_couchii_DQ433246_Mexico_Yucatan,seco,Tyrannidae,TRUE
92,Tyrannidae,Tyrannidae_sp,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,seco,Tyrannidae,False 
93,Tyrannidae,Tyrannidae_sp,Non_endemic_MaxAge,0,0.72,NA,0.72,Elaenia_flavogaster,seco,Tyrannidae,TRUE
94,Tyrannidae,Tyrannidae_sp,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,rainforest,Tyrannidae,False 
95,Tyrannidae,Tyrannidae_sp,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,rainforest,Tyrannidae,False 
96,Tyrannidae,Tyrannidae_sp,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,rainforest,Tyrannidae,False 
103,Tyrannidae,Tyrannidae_sp,Non_endemic_MaxAge,0,0.17,NA,NA,Myiodynastes_luteiventris_DQ433835_Nicaragua,seco,Tyrannidae,TRUE
106,Tyrannidae,Tyrannidae_sp,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,seco,Tyrannidae,False 
107,Tyrannidae,Tyrannidae_sp,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,rainforest,Tyrannidae,False 
108,Tyrannidae,Tyrannidae_sp,Non_endemic_MaxAge,0,0.1,0.1,NA,Pitangus_sulphuratus,seco,Tyrannidae,TRUE
109,Tyrannidae,Tyrannidae_sp,Non_endemic_MaxAge,0,1.47,NA,1.47,NA,rainforest,Tyrannidae,TRUE
111,Tyrannidae,Tyrannidae_sp,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,seco,Tyrannidae,False 
112,Tyrannidae,Tyrannidae_sp,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,rainforest,Tyrannidae,False 
113,Tyrannidae,Tyrannidae_sp,Non_endemic_MaxAge,0,0.9,NA,0.9,Todirostrum_cinereum_KM894392_El_Salvador,rainforest,Tyrannidae,TRUE
114,Tyrannidae,Tyrannidae_sp,Non_endemic_MaxAge,0,1.4,NA,1.4,NA,seco,Tyrannidae,TRUE
116,Tyrannidae,Tyrannidae_sp,Non_endemic_MaxAge,0,1.03,NA,1.03,Tyrannus_dominicensis_DQ434207 ,seco,Tyrannidae,TRUE
